player,team,nation,pos,age,born,league,season,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Playing Time_MP_playing_time,Playing Time_Min_playing_time,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s_playing_time,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,90s_misc,Performance_CrdY_misc,Performance_CrdR_misc,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Matt Ritchie,Newcastle United,SCO,"DF,MF",33,1989,ENG-Premier League,2324,13,0,128,1.4,1,0,1,1,0,0,1,0,0.7,0.0,0.7,0.7,0.7,1.4,1,6,4,66.7,4.22,2.81,0.17,0.25,0,0,13,128.0,10.0,3.7,1.4,0,,0,13,10.0,18,1.92,3.0,5.0,-2.0,-1.41,-2.09,1.4,1,0,0,2,1,0,7,1,3,,,0
Matt Targett,Newcastle United,ENG,DF,27,1995,ENG-Premier League,2324,3,1,78,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.9,0,0,0,,0.0,0.0,,,0,0,3,78.0,26.0,2.3,0.9,1,73.0,0,2,3.0,8,0.33,0.0,4.0,-4.0,-4.62,-5.34,0.9,1,0,0,0,2,0,0,0,0,,,0
Michael Ndiweni,Newcastle United,ENG,MF,19,2003,ENG-Premier League,2324,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0.0,0.0,,,0,0,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,0,3.0,0.0,0.0,0.0,0.0,-0.61,0.0,0,0,0,0,0,0,0,0,0,,,0
Miguel Almirón,Newcastle United,PAR,FW,29,1994,ENG-Premier League,2324,33,23,1937,21.5,3,1,4,3,0,0,2,0,0.14,0.05,0.19,0.14,0.19,21.5,3,41,12,29.3,1.91,0.56,0.07,0.25,0,0,33,1937.0,59.0,56.6,21.5,23,74.0,5,10,23.0,0,1.52,39.0,40.0,-1.0,-0.05,-1.5,21.5,2,0,0,16,22,10,24,10,24,,,0
Paul Dummett,Newcastle United,WAL,DF,31,1991,ENG-Premier League,2324,5,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0,1,0,0.0,4.5,0.0,0.0,,0,0,5,20.0,4.0,0.6,0.2,0,,0,5,4.0,24,2.6,0.0,1.0,-1.0,-4.5,-5.14,0.2,0,0,0,1,0,0,0,0,0,,,0
Sandro Tonali,Newcastle United,ITA,MF,23,2000,ENG-Premier League,2324,8,5,438,4.9,1,0,1,1,0,0,2,0,0.21,0.0,0.21,0.21,0.21,4.9,1,3,2,66.7,0.62,0.41,0.33,0.5,0,0,8,438.0,55.0,12.8,4.9,5,74.0,1,3,22.0,1,1.63,10.0,5.0,5.0,1.03,0.48,4.9,2,0,0,9,6,0,11,2,7,,,0
Sean Longstaff,Newcastle United,ENG,MF,25,1997,ENG-Premier League,2324,35,30,2747,30.5,6,2,8,6,0,0,7,0,0.2,0.07,0.26,0.2,0.26,30.5,6,41,15,36.6,1.34,0.49,0.15,0.4,0,0,35,2747.0,78.0,80.3,30.5,30,88.0,25,5,24.0,0,1.54,74.0,50.0,24.0,0.79,0.92,30.5,7,0,0,24,33,2,25,16,31,,,0
Sven Botman,Newcastle United,NED,DF,23,2000,ENG-Premier League,2324,17,15,1377,15.3,2,2,4,2,0,0,2,0,0.13,0.13,0.26,0.13,0.26,15.3,2,10,2,20.0,0.65,0.13,0.2,1.0,0,0,17,1377.0,81.0,40.3,15.3,15,88.0,12,2,31.0,0,1.35,37.0,29.0,8.0,0.52,-0.14,15.3,2,0,0,9,2,1,0,9,13,,,1
Valentino Livramento,Newcastle United,ENG,DF,20,2002,ENG-Premier League,2324,26,12,1314,14.6,1,0,1,1,0,0,1,0,0.07,0.0,0.07,0.07,0.07,14.6,1,4,2,50.0,0.27,0.14,0.25,0.5,0,0,26,1314.0,51.0,38.4,14.6,12,84.0,8,14,22.0,7,1.73,31.0,27.0,4.0,0.27,-0.54,14.6,1,0,0,3,28,1,26,24,14,,,0
Andrew Omobamidele,Nottingham Forest,IRL,DF,21,2002,ENG-Premier League,2324,11,8,783,8.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,8.7,0,1,0,0.0,0.11,0.0,0.0,,0,0,11,783.0,71.0,22.9,8.7,8,90.0,8,3,21.0,8,0.73,12.0,15.0,-3.0,-0.34,0.17,8.7,2,0,0,6,3,0,0,12,3,,,1
